Name,Country,User Type - ENGLISH,Shopee_User_Type__c,Shopee_Enquiry_Type__c - English (Webform),Shopee_Enquiry_Type__c - TRANSLATED (Webform),Enquiry Type - ENGLISH (RC),,Market,Category/Option in EN,Buyer/Seller?,Queue Display Name in Local Language,Value in SF 'Enquiry Type' field on Case Object
,ID,Buyer,Pembeli,Account & Security ,Akun & Keamanan,Account & Fraud,,SG,Buyer,Buyer,Shipping & Delivery,Logistics
,ID,Seller,Penjual,Account & Security ,Akun & Keamanan,Account & Fraud,,SG,Buyer,Buyer,Web & App Performance,General Feedback / Technical Issues
,ID,Seller,Penjual,Campaigns & Seller Related,Kampanye & Promosi,Marketing & BD,,SG,Buyer,Buyer,Account & Security,Account & Fraud
,ID,Buyer,Pembeli,Product Content & Legal,Konten Produk & Hukum,Content / Legal,,SG,Buyer,Buyer,Payments,Payments
,ID,Seller,Penjual,Product Content & Legal,Konten Produk & Hukum,Content / Legal,,SG,Buyer,Buyer,Returns & Refunds,Return / Refund & Order Cancellation
,ID,Buyer,Pembeli,Web & App Performance,Performa Web & Aplikasi,General Feedback / Technical Issues,,SG,Buyer,Buyer,Product Content & Legal,Content / Legal
,ID,Seller,Penjual,Web & App Performance,Performa Web & Aplikasi,General Feedback / Technical Issues,,SG,Buyer,Buyer,Vouchers & Promotions,Marketing & BD
,ID,Buyer,Pembeli,General Enquiries,Pertanyaan Lainnya,General Enquiries,,SG,Buyer,Buyer,General Enquiries,General Enquiries
,ID,Seller,Penjual,General Enquiries,Pertanyaan Lainnya,General Enquiries,,SG,Seller,Seller,Payments & Escrow,Payments
,ID,Buyer,Pembeli,General Enquiries,Pertanyaan Lainnya,General Enquiries,,SG,Seller,Seller,Shipping & Delivery,Logistics
,ID,Seller,Penjual,General Enquiries,Pertanyaan Lainnya,General Enquiries,,SG,Seller,Seller,Campaigns & Seller Related,Marketing & BD
,ID,Buyer,Pembeli,Shipping & Delivery,Pengiriman Produk,Logistics,,SG,Seller,Seller,Web & App Performance,General Feedback / Technical Issues
,ID,Seller,Penjual,Shipping & Delivery,Pengiriman Produk,Logistics,,SG,Seller,Seller,Account & Security,Account & Fraud
,ID,Buyer,Pembeli,Payments,Pembayaran dan Pelepasan Dana,Payments ,,SG,Seller,Seller,Returns & Refunds,Return / Refund & Order Cancellation
,ID,Seller,Penjual,Payments,Pembayaran dan Pelepasan Dana,Payments,,SG,Seller,Seller,Product Content & Legal,Content / Legal
,ID,Buyer,Pembeli,Returns & Refunds,Pengajuan Pengembalian Barang & Dana,Return / Refund & Order Cancellation,,SG,Seller,Seller,General Enquiries,General Enquiries
,ID,Seller,Penjual,Returns & Refunds,Pengajuan Pengembalian Barang & Dana,Return / Refund & Order Cancellation,,MY,Buyer,Buyer,Shipping & Delivery,Logistics
,ID,Buyer,Pembeli,Voucher & Promotions,Kampanye & Promosi,Marketing & BD,,MY,Buyer,Buyer,Web & App Performance,General Feedback / Technical Issues
,ID,Buyer,Pembeli,Account & Security ,Akun & Keamanan,Account & Fraud,,MY,Buyer,Buyer,Account & Security,Account & Fraud
